Partlist

Exported from K-Board.sch at 3/12/13 11:59 AM

EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value                     Device                    Package          Library               Sheet

C1       GRM21BR71H105KA           CAP0805                   0805             BUG                   1
C2       C5750X7S2A106M            CAP2220                   2220             BUG                   1
C3       C0805C103K5RACTU          CAP0805                   0805             BUG                   1
C4       150u                      CAP_POLD                  PANASONIC_D      BUG                   1
C5       33u                       CAP_POLC                  PANASONIC_C      BUG                   1
C6       100u                      CAP_POLD                  PANASONIC_D      BUG                   1
C7       100u                      CAP_POLD                  PANASONIC_D      BUG                   1
C8       100u                      CAP_POLD                  PANASONIC_D      BUG                   1
C9       100u                      CAP_POLD                  PANASONIC_D      BUG                   1
C10      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C11      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C12      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C13      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C14      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C15      18p                       CAP0402-CAP               0402-CAP         BUG                   1
C16      18p                       CAP0402-CAP               0402-CAP         BUG                   1
C17      1                         CAP0402-CAP               0402-CAP         BUG                   1
C18      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C19      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C20      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C21      22n                       CAP0402-CAP               0402-CAP         BUG                   1
C22      1                         CAP0402-CAP               0402-CAP         BUG                   1
C23      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C24      0.47u                     CAP0805                   0805             BUG                   1
C25      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C26      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C27      0.47                      CAP0805                   0805             BUG                   1
C28      4.7n                      CAP0805                   0805             BUG                   1
C29      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C30      100u                      CAP_POLD                  PANASONIC_D      BUG                   1
C31      0.1                       CAP0402-CAP               0402-CAP         BUG                   1
C32      100u                      CAP_POLD                  PANASONIC_D      BUG                   1
C35      100u                      CAP_POLD                  PANASONIC_D      BUG                   1
D1       50WQ10FNPBF               DIODE_COMMON_CAT-DPAK     V-REG_DPACK      BUG                   1
