Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "K-Board.brd" as of: 3/12/13 9:24 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,2.480,3.140,0
C2,Top,2.264,3.234,180
C3,Top,2.586,2.808,270
C4,Top,2.935,2.980,0
C5,Top,3.416,1.284,225
C6,Top,0.971,1.618,180
C7,Top,1.272,2.634,0
C8,Top,2.220,0.543,90
C9,Top,1.354,1.214,45
C10,Top,3.540,1.680,90
C11,Top,2.210,1.690,180
C12,Top,2.170,1.450,180
C13,Top,2.610,2.030,45
C14,Top,2.900,1.840,0
C15,Top,2.420,2.180,0
C16,Top,2.020,2.050,180
C17,Top,2.375,2.040,180
C18,Top,2.375,1.990,180
C19,Top,2.900,1.730,0
C20,Top,2.570,1.270,270
C21,Top,3.010,1.220,180
C22,Top,2.620,1.270,270
C23,Top,2.810,1.070,270
C24,Top,2.560,3.580,90
C25,Top,2.521,1.270,270
C26,Top,2.386,1.848,90
C27,Top,2.560,3.700,90
C28,Top,2.800,0.260,0
C29,Top,3.050,1.650,0
C30,Top,3.980,2.810,180
C31,Top,3.240,1.520,0
C32,Top,3.266,0.540,135
C35,Top,3.990,1.620,180
D1,Top,2.350,2.530,270
D2,Top,2.660,3.130,270
D3,Top,2.730,3.400,0
F1,Top,3.060,3.320,270
IC1,Top,2.480,2.920,90
IC2,Top,3.070,1.380,270
J0,Top,3.317,3.593,155.3
L1,Top,2.880,2.550,0
LED1,Top,1.140,3.020,225
LED2,Top,0.760,2.090,270
LED3,Top,1.190,0.780,315
LED4,Top,2.420,0.150,0
LED5,Top,3.730,0.580,45
LED6,Top,4.360,1.810,90
LED7,Top,3.930,3.120,135
LED8,Top,3.010,3.700,352
LED9,Top,1.010,2.910,135
LED10,Top,1.080,0.910,45
LED11,Top,0.760,2.260,0
LED12,Top,2.250,0.170,90
LED13,Top,3.600,0.470,135
LED14,Top,3.522,3.515,245
LED16,Top,4.370,1.650,180
LED17,Top,4.040,3.000,225
R1,Top,1.251,2.872,180
R2,Top,1.252,2.935,0
R3,Top,0.960,2.110,180
R4,Top,0.960,2.170,0
R5,Top,1.350,0.950,225
R6,Top,1.310,0.990,45
R7,Top,2.410,0.300,270
R8,Top,2.350,0.300,90
R9,Top,3.068,3.694,262
R10,Top,1.070,2.810,315
R11,Top,1.110,0.990,45
R12,Top,0.860,2.290,0
R13,Top,2.220,0.270,90
R14,Top,2.270,1.980,180
R15,Top,2.210,1.230,270
R16,Top,2.270,1.230,90
R17,Top,3.480,1.750,270
R18,Top,3.480,1.620,90
R19,Top,2.400,2.110,90
R20,Top,3.510,0.480,225
R21,Top,4.270,1.620,180
R22,Top,3.050,1.790,180
R23,Top,3.050,1.700,180
R24,Top,3.131,1.576,270
R25,Top,3.630,1.700,90
R26,Top,3.210,1.650,180
R27,Top,3.210,1.590,0
R28,Top,3.630,1.560,270
R29,Top,3.990,2.660,0
R30,Top,3.950,1.320,270
R31,Top,3.850,2.960,225
R32,Top,3.810,3.000,45
R33,Top,4.210,1.730,180
R34,Top,4.150,1.810,0
R35,Top,3.474,3.110,225
R36,Top,3.560,0.650,135
R37,Top,3.600,0.690,315
R38,Top,2.800,0.190,0
R39,Top,1.120,2.260,90
R40,Top,1.120,2.160,270
R41,Top,1.400,2.160,90
R42,Top,1.400,2.260,270
R43,Top,1.630,0.520,270
R44,Top,1.630,0.620,90
R45,Top,1.910,0.520,90
R46,Top,1.910,0.620,270
R47,Top,3.970,1.010,0
R48,Top,3.870,1.010,180
R49,Top,4.180,2.150,0
R50,Top,4.080,2.150,180
R51,Top,4.180,2.100,180
R52,Top,4.080,2.100,0
SJ1,Top,3.067,1.591,180
SJ2,Top,3.360,1.750,180
SJ3,Top,3.260,1.440,270
TP1,Bottom,3.060,1.590,0
TP2,Bottom,3.070,3.100,0
TP3,Bottom,2.500,3.270,0
TP4,Bottom,3.060,3.560,0
TP5,Bottom,3.210,1.650,0
TP6,Bottom,2.190,1.330,0
TP7,Bottom,1.290,2.020,0
TP8,Bottom,1.310,2.790,0
TP9,Bottom,1.380,2.100,0
TP10,Bottom,1.500,2.360,0
TP11,Bottom,1.740,0.610,90
TP12,Bottom,1.800,0.610,90
TP13,Bottom,1.310,0.890,90
TP14,Bottom,2.200,0.710,90
TP15,Bottom,4.080,1.080,0
TP16,Bottom,3.020,0.660,0
TP17,Bottom,4.290,2.240,0
TP18,Bottom,4.350,2.200,0
TP19,Bottom,3.940,2.250,0
TP20,Bottom,3.840,2.580,0
U1,Top,1.260,2.310,0
U2,Top,1.770,0.660,0
U3,Top,2.560,1.600,0
U4,Top,3.090,1.060,270
U6,Top,3.840,1.160,90
U7,Top,4.150,2.330,90
Y1,Top,2.070,2.170,0
